sku,action,variant_id,current_weight,new_weight_lb,tier,effective_net_charge,note
EB-26SU-WR-001,orphan-not-in-airtable,44758130851975,0 POUNDS,,,,
EB-26SU-WR-002,update-planned,44765221716103,816 GRAMS,15,T2 – $9,10.565,
EB-26SP-CP-001,update-planned,44765442474119,953 POUNDS,28,T3 – $14,14.165,
EB-26SP-TT-001,orphan-not-in-airtable,44770564178055,2.12 POUNDS,,,,
EB-26SP-CP-003,needs-estimate-blank,44845143818375,1089 GRAMS,,,,blank Shopify Ship Weight (lb)
EB-26AS-WR-001,update-planned,44942559477895,18 OUNCES,15,T2 – $9,8.975,
EB-26SP-TT-008,update-planned,44942644248711,17 OUNCES,5,T1 – $5,4.5,
EB-26SP-WR-004,update-planned,44946299060359,14 OUNCES,5,T1 – $5,4.785,
EB-26SP-WP-001,update-planned,44948420558983,27 OUNCES,15,T2 – $9,8.93,
EB-26AS-CP-002,update-planned,44948440842375,40 OUNCES,28,T3 – $14,16.45,
EB-26MS-CP-002,update-planned,44951337697415,25 OUNCES,28,T3 – $14,12.805,
EB-26MS-WD-001,update-planned,44983533666439,18 OUNCES,15,T2 – $9,7.37,
EB-26MS-CP-003,update-planned,44984969101447,46 OUNCES,28,T3 – $14,12.175,
EB-26MS-CP-005,update-planned,44987225079943,30 OUNCES,28,T3 – $14,13.08,
EB-26MS-CP-001,update-planned,44991896060039,14 OUNCES,5,T1 – $5,4.5,
EB-26AS-CP-003,update-planned,44998186762375,38 OUNCES,28,T3 – $14,12.53,
EB-26AS-HD-002,update-planned,45009947492487,20 OUNCES,15,T2 – $9,7.275,
EB-26FA-HD-001,ambiguous-duplicate-airtable,45011676397703,30 OUNCES,28,T3 – $14,13.985,SKU on multiple Airtable records — resolve then re-run
EB-26AS-CP-004,update-planned,45016075698311,44 OUNCES,28,T3 – $14,14.89,
EB-26AS-CP-001,update-planned,45021620928647,74 OUNCES,45,T4 – $22,20.075,
EB-26AS-HD-003,update-planned,45024404570247,52 OUNCES,5,T1 – $5,4.5,
EB-26AS-TT-001,update-planned,45024644202631,17 OUNCES,5,T1 – $5,4.5,
EB-26AS-TT-002,update-planned,45024751124615,100 OUNCES,45,T4 – $22,18.855,
EB-26MS-TT-001,update-planned,45026119843975,28 OUNCES,15,T2 – $9,7.665,
EB-26MS-TT-002,update-planned,45026281783431,12 OUNCES,5,T1 – $5,4.5,
EB-26MS-TT-004,update-planned,45026334670983,14 OUNCES,5,T1 – $5,4.5,
EB-26SP-CP-005,update-planned,45026556510343,36 OUNCES,28,T3 – $14,12.175,
EB-26SP-CP-006,update-planned,45027171991687,42 OUNCES,15,T2 – $9,8.255,
EB-26SP-TT-003,update-planned,45037360316551,12 OUNCES,5,T1 – $5,4.5,
EB-26SP-WR-005,update-planned,45037424476295,19 OUNCES,5,T1 – $5,4.785,
EB-26SU-WR-005,update-planned,45083681357959,34 OUNCES,28,T3 – $14,12.53,
EB-26SP-CP-007,update-planned,45083764228231,28 OUNCES,5,T1 – $5,4.5,
EB-26SP-HD-002,update-planned,45086062116999,19 OUNCES,5,T1 – $5,4.5,
EB-26SU-CP-001,update-planned,45090620211335,41 OUNCES,28,T3 – $14,12.53,
EB-26SU-WR-004,update-planned,45111664345223,11 OUNCES,15,T2 – $9,8.975,
EB-26SU-WR-003,needs-estimate-blank,45131596398727,29 OUNCES,,,,blank Shopify Ship Weight (lb)
EB-26MS-TT-003,update-planned,45131672092807,14 OUNCES,5,T1 – $5,4.5,
EB-26SU-CP-003,update-planned,45132927795335,28 OUNCES,28,T3 – $14,13.805,
EB-26AS-WR-002,update-planned,45133210288263,23 OUNCES,5,T1 – $5,4.785,
EB-26AS-WR-003,update-planned,45133430816903,25 OUNCES,15,T2 – $9,8.975,
EB-26AS-WR-004,update-planned,45133451067527,22 OUNCES,5,T1 – $5,4.785,
EB-26AS-HD-004,update-planned,45138406703239,39 OUNCES,5,T1 – $5,4.5,
EB-26SP-CP-008,update-planned,45138454675591,17 OUNCES,5,T1 – $5,4.5,
EB-26AS-WR-005,update-planned,45138552881287,14 OUNCES,5,T1 – $5,4.785,
EB-26AS-CP-005,update-planned,45138900451463,44 OUNCES,5,T1 – $5,4.5,
EB-26AS-CP-006,update-planned,45139011666055,33 OUNCES,15,T2 – $9,8.76,
EB-26AS-CP-007,update-planned,45139092996231,82 OUNCES,45,T4 – $22,19.235,
EB-26SP-CP-009,update-planned,45139206373511,37 OUNCES,28,T3 – $14,12.805,
EB-26AS-CP-008,update-planned,45145161859207,35 OUNCES,15,T2 – $9,7.18,
EB-26AS-CP-009,update-planned,45145503596679,28 OUNCES,15,T2 – $9,8.425,
EB-26AS-HD-005,update-planned,45147715076231,36 OUNCES,15,T2 – $9,8.76,
EB-26MS-HA-001,update-planned,45147762524295,18 OUNCES,15,T2 – $9,7.37,
EB-26FA-CP-001,update-planned,45148365258887,82 OUNCES,45,T4 – $22,39.7,
EB-26FA-HD-002,update-planned,45148495577223,40 OUNCES,28,T3 – $14,12,
EB-26FA-HD-003,update-planned,45150504878215,17 OUNCES,15,T2 – $9,7.37,
EB-26FA-HD-004,update-planned,45150527717511,17 OUNCES,15,T2 – $9,8.255,
EB-26AS-HD-006,update-planned,45150543544455,51 OUNCES,15,T2 – $9,8.76,
EB-26MS-WR-001,update-planned,45150568153223,17 OUNCES,15,T2 – $9,9.775,
EB-26AS-CP-010,update-planned,45150965792903,36 OUNCES,15,T2 – $9,7.37,
EB-26AS-HD-007,update-planned,45155846783111,20 OUNCES,5,T1 – $5,4.5,
EB-26AS-CP-011,update-planned,45156514267271,81 OUNCES,28,T3 – $14,14.165,
EB-26SP-HD-003,update-planned,45157049008263,25 OUNCES,15,T2 – $9,8.255,
EB-26AS-HD-008,update-planned,45157215273095,16 OUNCES,5,T1 – $5,4.5,
EB-26SP-HD-004,update-planned,45157419679879,36 OUNCES,5,T1 – $5,4.5,
EB-26AS-HD-009,update-planned,45185385005191,33 OUNCES,28,T3 – $14,13.985,
EB-26MS-HD-001,update-planned,45206334144647,16 OUNCES,5,T1 – $5,4.5,
EB-26MS-HD-002,update-planned,45206554214535,20 OUNCES,15,T2 – $9,8.255,
EB-26MS-HD-003,update-planned,45206589210759,14 OUNCES,15,T2 – $9,8.255,
EB-26AS-HD-010,update-planned,45206624731271,22 OUNCES,15,T2 – $9,7.665,
EB-26MS-HD-004,update-planned,45206641836167,25 OUNCES,5,T1 – $5,4.5,
EB-26AS-HD-011,update-planned,45206685286535,19 OUNCES,5,T1 – $5,4.5,
EB-26AS-HA-001,update-planned,45208694882439,21 OUNCES,15,T2 – $9,8.595,
EB-26AS-HD-012,update-planned,45214919458951,30 OUNCES,5,T1 – $5,4.5,
EB-26AS-CP-012,update-planned,45215453380743,67 OUNCES,15,T2 – $9,8.595,
EB-26AS-CP-013,update-planned,45215552995463,25 OUNCES,5,T1 – $5,4.5,
EB-26AS-CP-014,update-planned,45215576391815,52 OUNCES,15,T2 – $9,8.595,
EB-26AS-HD-013,update-planned,45215581569159,30 OUNCES,15,T2 – $9,7.96,
EB-26AS-CP-015,update-planned,45220232200327,32 OUNCES,5,T1 – $5,4.5,
EB-26FA-CP-002,update-planned,45220690722951,65 OUNCES,28,T3 – $14,15.93,
EB-26FA-CP-003,update-planned,45220723589255,57 OUNCES,45,T4 – $22,18.1,
EB-26AS-WD-001,update-planned,45230259961991,17 OUNCES,28,T3 – $14,12,
EB-26AS-CP-016,update-planned,45236046299271,86 OUNCES,28,T3 – $14,16.97,
EB-26MS-CP-006,update-planned,45236192379015,48 OUNCES,45,T4 – $22,19.235,
EB-26FA-CP-004,update-planned,45236271546503,41 OUNCES,45,T4 – $22,17.35,
EB-26FA-CP-005,orphan-not-in-airtable,45236302708871,41 OUNCES,,,,
EB-26FA-WD-001,update-planned,45236355793031,48 OUNCES,28,T3 – $14,14.71,
EB-26MS-WR-002,update-planned,45252432101511,26 OUNCES,28,T3 – $14,13.625,
EB-26AS-WR-006,update-planned,45252481384583,12 OUNCES,5,T1 – $5,4.785,
EB-26MS-WR-004,update-planned,45252528406663,36 OUNCES,28,T3 – $14,16.77,
EB-26WI-WR-001,update-planned,45273456083079,29 OUNCES,28,T3 – $14,11.66,
EB-26MS-WR-003,update-planned,45273474859143,26 OUNCES,15,T2 – $9,9.775,
EB-26SP-WR-006,update-planned,45273494749319,28 OUNCES,28,T3 – $14,14.25,
EB-26SP-WR-007,update-planned,45274735181959,27 OUNCES,28,T3 – $14,13.625,
EB-26SP-WR-008,update-planned,45274873757831,19 OUNCES,15,T2 – $9,9.775,
EB-26AS-WD-002,update-planned,45274880049287,37 OUNCES,15,T2 – $9,8.255,
EB-26AS-WR-007,update-planned,45276158722183,32 OUNCES,28,T3 – $14,14.25,
EB-26AS-WR-008,update-planned,45276225372295,22 OUNCES,28,T3 – $14,11.64,
EB-26AS-WR-009,update-planned,45276278489223,23 OUNCES,15,T2 – $9,10.565,
EB-26SP-WR-010,update-planned,45285172740231,21 OUNCES,28,T3 – $14,12.53,
EB-26SP-WR-011,update-planned,45288091287687,21 OUNCES,28,T3 – $14,13.625,
EB-26FA-HD-005,update-planned,45289026060423,80 OUNCES,45,T4 – $22,41.2,
EB-26AS-WR-010,update-planned,45320829960327,51 OUNCES,28,T3 – $14,13.625,
EB-26SP-WR-012,update-planned,45321149481095,53 OUNCES,28,T3 – $14,12.53,
EB-26SU-WR-007,update-planned,45321741664391,48 OUNCES,28,T3 – $14,12.53,
EB-26FA-WR-001,update-planned,45321818472583,32 OUNCES,28,T3 – $14,13.625,
EB-26MS-CP-007,update-planned,45322010099847,16 OUNCES,5,T1 – $5,4.5,
EB-26AS-WD-003,update-planned,45322084712583,12 OUNCES,15,T2 – $9,8.76,
EB-26MS-CP-008,update-planned,45333438627975,13 OUNCES,15,T2 – $9,8.255,
EB-26SP-WR-013,update-planned,45333905670279,64 OUNCES,28,T3 – $14,12.53,
EB-26MS-CP-010,update-planned,45334071738503,125 OUNCES,28,T3 – $14,13.35,
